id,customer_id,item_id,seller_id,good_id,seller_raiting,payment_type,bonus,date
53,425,15,156,74,3,cashless payment,41,2024-01-12
54,424,79,198,45,2,cash payment,41,2024-01-18
55,375,11,88,145,1,cashless payment,14,2024-01-13
56,141,6,53,48,2,cash payment,38,2024-01-16
57,507,90,170,24,2,cash payment,41,2024-01-14
58,652,7,70,184,5,cash payment,47,2024-01-19
59,256,12,173,73,1,in installments,25,2024-01-25
60,778,33,57,53,2,cashless payment,8,2024-01-08
61,724,99,199,80,5,cash payment,23,2024-01-24
62,518,90,112,162,1,cash payment,50,2024-01-27
63,644,71,119,57,5,cash payment,3,2024-01-05
64,720,5,98,64,4,cash payment,18,2024-01-18
65,474,70,168,121,1,cash payment,22,2024-01-24
66,220,37,163,90,1,in installments,50,2024-01-12
67,86,90,88,43,2,in installments,48,2024-01-30
68,623,66,64,130,5,cashless payment,14,2024-01-23
69,211,55,70,53,5,cashless payment,26,2024-01-09
70,276,62,150,54,5,cash payment,44,2024-01-26
71,509,88,26,83,5,cashless payment,49,2024-01-10
72,218,26,59,8,3,in installments,47,2024-01-28
73,566,1,10,23,3,cashless payment,44,2024-01-17
74,329,41,178,107,5,in installments,34,2024-01-24
75,146,70,41,111,5,cashless payment,24,2024-01-17
76,913,40,84,69,4,cashless payment,25,2024-01-07
77,494,7,57,123,3,cash payment,29,2024-01-21
78,924,89,22,127,4,in installments,27,2024-01-24
79,414,89,88,164,5,cashless payment,14,2024-01-11
80,933,56,101,60,5,cashless payment,49,2024-01-04
81,753,87,173,181,3,cash payment,44,2024-01-17
82,453,83,40,40,3,cash payment,31,2024-01-15
83,929,87,140,121,3,in installments,9,2024-01-11
84,179,4,148,133,1,cash payment,19,2024-01-01
85,840,53,71,154,5,cash payment,37,2024-01-20
86,921,3,21,184,2,cashless payment,48,2024-01-05
87,737,19,60,27,1,cash payment,26,2024-01-29
88,708,99,118,169,4,in installments,38,2024-01-26
89,670,4,96,164,2,in installments,3,2024-01-05
90,892,3,39,90,3,cashless payment,50,2024-01-21
91,949,15,151,99,3,cash payment,23,2024-01-23
92,203,55,161,118,2,cashless payment,43,2024-01-24
93,282,38,30,184,3,cash payment,33,2024-01-15
94,549,98,129,28,4,cash payment,30,2024-01-23
95,120,51,151,160,4,in installments,21,2024-01-08
96,572,26,117,130,3,cash payment,6,2024-01-08
97,975,77,172,32,1,in installments,18,2024-01-29
98,554,64,164,170,4,cashless payment,46,2024-01-21
99,177,19,94,40,2,in installments,40,2024-01-28
100,178,53,115,27,3,cash payment,44,2024-01-11
101,315,91,34,164,2,cashless payment,34,2024-01-15
102,192,5,155,53,5,in installments,31,2024-01-15
103,462,5,32,128,5,cashless payment,14,2024-01-01
104,940,80,52,197,1,cash payment,44,2024-01-04
105,271,31,5,100,5,cashless payment,35,2024-01-23
106,818,36,53,17,5,in installments,18,2024-01-07
107,506,93,75,23,5,cashless payment,8,2024-01-18
108,427,23,70,30,5,cash payment,19,2024-01-06
109,88,32,71,86,4,in installments,5,2024-01-23
110,53,94,137,23,2,cash payment,28,2024-01-24
111,415,5,177,141,4,cashless payment,47,2024-01-27
112,126,26,104,131,4,in installments,30,2024-01-16
113,700,38,71,16,4,cash payment,9,2024-01-02
114,763,99,155,118,3,cash payment,14,2024-01-02
115,642,34,143,6,2,in installments,47,2024-01-13
116,601,20,6,144,4,cashless payment,43,2024-01-26
117,246,40,148,138,1,cashless payment,18,2024-01-22
118,537,16,162,30,2,in installments,40,2024-01-11
119,672,77,141,59,2,cash payment,13,2024-01-15
120,744,52,193,16,5,in installments,49,2024-01-26
121,434,53,182,9,3,in installments,17,2024-01-18
122,104,11,171,152,4,cashless payment,8,2024-01-08
123,412,68,23,99,2,cashless payment,22,2024-01-03
124,953,59,175,42,5,in installments,30,2024-01-02
125,301,15,4,26,1,cashless payment,23,2024-01-05
126,723,22,99,165,2,in installments,18,2024-01-21
127,643,96,87,75,4,cashless payment,12,2024-01-05
128,758,100,85,41,1,cash payment,50,2024-01-09
129,471,88,69,176,4,in installments,38,2024-01-24
130,210,62,187,3,2,cashless payment,43,2024-01-23
131,332,4,116,92,1,cashless payment,16,2024-01-22
132,382,65,174,199,1,cashless payment,13,2024-01-11
133,108,44,161,150,2,cash payment,17,2024-01-27
134,220,54,33,53,2,cashless payment,0,2024-01-29
135,792,33,18,194,4,in installments,38,2024-01-27
136,464,9,183,36,4,cashless payment,26,2024-01-26
137,256,79,142,115,1,in installments,49,2024-01-05
138,252,17,133,116,3,cash payment,39,2024-01-04
139,188,100,99,196,5,cashless payment,30,2024-01-22
140,2,45,70,39,1,cashless payment,13,2024-01-01
141,203,4,54,25,2,cashless payment,30,2024-01-07
142,65,39,60,127,3,cash payment,11,2024-01-19
143,67,17,54,200,3,cashless payment,41,2024-01-13
144,332,5,136,12,1,in installments,37,2024-01-13
145,285,94,39,113,1,in installments,18,2024-01-14
146,701,95,19,194,3,cash payment,14,2024-01-16
147,979,64,120,39,4,cash payment,13,2024-01-22
148,153,58,26,3,1,cashless payment,30,2024-01-06
149,850,59,135,117,1,cashless payment,13,2024-01-26
150,611,63,189,86,1,cash payment,19,2024-01-01
151,949,86,114,121,5,in installments,26,2024-01-10
152,248,29,19,103,3,in installments,19,2024-01-13
153,338,20,37,68,5,cashless payment,19,2024-01-27
154,798,89,183,87,4,cashless payment,7,2024-01-17
155,468,56,142,115,1,cashless payment,27,2024-01-18
156,861,16,62,30,4,cashless payment,41,2024-01-23
157,358,67,129,130,4,in installments,18,2024-01-16
158,843,7,80,136,2,cash payment,24,2024-01-12
159,889,53,166,77,1,cashless payment,9,2024-01-28
160,767,74,12,106,3,cashless payment,33,2024-01-07
161,726,28,200,85,5,cash payment,25,2024-01-26
162,490,73,126,31,4,cash payment,33,2024-01-10
163,27,7,172,90,3,cash payment,27,2024-01-04
164,280,10,14,16,1,cashless payment,39,2024-01-13
165,941,76,13,100,4,in installments,31,2024-01-11
166,207,79,39,97,1,cashless payment,36,2024-01-10
167,679,6,133,178,1,cashless payment,20,2024-01-30
168,115,64,148,153,5,cashless payment,13,2024-01-01
169,553,13,112,154,1,in installments,18,2024-01-03
170,762,60,125,191,5,cashless payment,15,2024-01-15
171,618,65,81,51,1,in installments,23,2024-01-26
172,716,20,53,142,1,cashless payment,42,2024-01-03
173,408,19,154,119,3,cash payment,32,2024-01-21
174,666,99,97,168,4,cashless payment,22,2024-01-11
175,925,11,145,199,2,cashless payment,47,2024-01-30
176,11,90,126,69,4,in installments,45,2024-01-18
177,600,48,168,140,1,cash payment,21,2024-01-05
178,754,45,166,92,5,in installments,1,2024-01-12
179,715,5,121,107,1,cash payment,28,2024-01-24
180,921,64,188,162,5,cash payment,25,2024-01-14
181,332,49,33,38,5,in installments,8,2024-01-06
182,472,38,105,188,5,cashless payment,39,2024-01-28
183,839,47,94,8,4,cash payment,17,2024-01-03
184,188,96,27,180,5,cash payment,31,2024-01-14
185,921,98,155,192,3,cashless payment,41,2024-01-02
186,430,32,190,110,1,cash payment,39,2024-01-19
187,703,80,171,168,5,in installments,46,2024-01-06
188,916,84,128,5,3,cash payment,48,2024-01-29
189,245,79,139,122,3,cashless payment,6,2024-01-25
190,393,34,148,63,1,cash payment,27,2024-01-08
191,91,54,16,67,5,cash payment,40,2024-01-24
192,340,38,83,192,1,cashless payment,29,2024-01-04
193,511,89,142,11,5,cash payment,36,2024-01-16
194,677,37,109,194,4,cashless payment,44,2024-01-04
195,456,75,108,100,5,cashless payment,5,2024-01-11
196,403,47,174,185,4,cash payment,36,2024-01-19
197,318,94,196,169,1,cash payment,36,2024-01-01
198,168,32,79,93,4,cashless payment,40,2024-01-23
199,88,33,28,80,4,cashless payment,37,2024-01-29
200,267,7,11,93,1,in installments,39,2024-01-14
201,442,77,37,140,2,cash payment,24,2024-01-12
202,648,40,6,130,2,in installments,11,2024-01-30
203,120,38,180,197,2,in installments,31,2024-01-16
204,650,56,178,104,1,cashless payment,4,2024-01-15
205,791,54,140,116,2,in installments,45,2024-01-10
206,520,60,48,62,5,cashless payment,47,2024-01-21
207,593,44,10,32,4,cashless payment,7,2024-01-11
208,235,70,45,17,1,cashless payment,19,2024-01-16
209,481,83,119,182,5,cash payment,11,2024-01-17
210,918,36,102,165,3,in installments,34,2024-01-20
211,933,24,52,79,3,in installments,18,2024-01-29
212,275,32,71,20,1,in installments,17,2024-01-17
213,595,81,10,150,1,cash payment,5,2024-01-01
214,522,52,188,167,3,cashless payment,5,2024-01-13
215,490,55,84,111,1,in installments,32,2024-01-29
216,466,100,51,111,2,in installments,5,2024-01-01
217,264,35,64,109,2,cash payment,12,2024-01-10
218,963,40,130,52,3,cashless payment,24,2024-01-01
219,435,14,14,44,2,cashless payment,14,2024-01-06
220,42,4,57,26,5,cash payment,20,2024-01-02
221,948,95,46,181,5,cashless payment,35,2024-01-09
222,847,66,55,155,4,cash payment,28,2024-01-04
223,440,78,25,109,2,cash payment,13,2024-01-19
224,415,75,163,158,4,in installments,35,2024-01-15
225,170,17,26,158,3,in installments,30,2024-01-16
226,791,19,155,26,2,cashless payment,22,2024-01-19
227,314,88,38,197,3,cashless payment,43,2024-01-19
228,827,57,195,164,4,cash payment,36,2024-01-19
229,660,82,15,147,3,cashless payment,18,2024-01-27
230,554,9,147,2,2,cashless payment,20,2024-01-07
231,955,31,188,182,5,in installments,29,2024-01-15
232,879,41,111,69,5,cash payment,40,2024-01-05
233,647,58,162,7,2,cashless payment,28,2024-01-28
234,642,53,19,178,3,cashless payment,30,2024-01-14
235,783,31,57,17,1,cash payment,17,2024-01-09
236,324,20,190,121,3,in installments,21,2024-01-23
237,772,45,143,102,4,in installments,4,2024-01-25
238,168,74,148,168,1,cash payment,45,2024-01-21
239,775,60,18,139,1,cashless payment,7,2024-01-10
240,366,47,171,167,4,in installments,16,2024-01-29
241,866,72,149,120,2,cashless payment,35,2024-01-02
242,129,32,190,135,4,in installments,36,2024-01-18
243,810,19,11,107,4,cashless payment,2,2024-01-24
244,593,85,61,191,3,in installments,42,2024-01-20
245,142,64,141,200,3,cashless payment,39,2024-01-22
246,447,95,196,69,1,cash payment,23,2024-01-28
247,533,41,91,17,2,cashless payment,44,2024-01-26
248,338,85,199,122,5,cash payment,35,2024-01-02
249,427,42,131,166,5,in installments,15,2024-01-20
250,943,72,152,31,1,in installments,0,2024-01-02
251,344,7,103,172,1,in installments,19,2024-01-08
252,43,83,70,58,3,cash payment,17,2024-01-10
253,569,84,181,101,2,cash payment,37,2024-01-11
254,787,17,44,12,2,cash payment,28,2024-01-28
255,885,6,167,67,1,cash payment,6,2024-01-07
256,421,1,181,20,2,cash payment,19,2024-01-12
257,813,84,131,33,5,cashless payment,37,2024-01-19
258,887,48,37,126,2,cashless payment,6,2024-01-10
259,131,61,162,118,4,in installments,0,2024-01-16
260,665,34,190,144,5,in installments,50,2024-01-16
261,676,81,177,165,2,cashless payment,0,2024-01-14
262,725,37,70,10,1,cashless payment,5,2024-01-26
263,674,92,174,26,5,cash payment,7,2024-01-02
264,243,51,40,197,5,cash payment,25,2024-01-01
265,279,80,145,21,1,cash payment,36,2024-01-24
266,634,63,21,117,4,cash payment,12,2024-01-26
267,714,87,14,63,1,cash payment,28,2024-01-17
268,216,48,172,173,3,cash payment,42,2024-01-13
269,952,72,25,119,4,cashless payment,34,2024-01-28
270,702,53,141,80,4,cash payment,41,2024-01-30
271,878,55,4,118,2,cash payment,30,2024-01-18
272,608,53,128,71,3,cashless payment,43,2024-01-05
273,28,65,199,122,5,in installments,13,2024-01-13
274,534,33,6,31,3,cash payment,8,2024-01-02
275,934,2,134,154,5,cash payment,18,2024-01-30
276,551,59,194,126,4,cash payment,33,2024-01-11
277,719,6,94,89,1,in installments,46,2024-01-06
278,116,10,160,187,5,cashless payment,14,2024-01-10
279,388,84,75,30,5,in installments,11,2024-01-10
280,43,84,200,33,1,in installments,5,2024-01-22
281,262,50,9,62,5,cashless payment,40,2024-01-01
282,714,29,140,73,5,cashless payment,49,2024-01-09
283,379,29,133,16,5,in installments,18,2024-01-28
284,822,59,186,23,4,cash payment,32,2024-01-17
285,637,40,80,36,3,in installments,0,2024-01-11
286,637,93,108,196,1,cash payment,46,2024-01-25
287,510,73,153,159,1,in installments,38,2024-01-25
288,711,46,47,184,1,in installments,25,2024-01-01
289,690,93,163,37,1,in installments,19,2024-01-29
290,442,55,164,178,1,cashless payment,19,2024-01-22
291,948,43,152,157,5,cash payment,8,2024-01-21
292,313,45,158,131,4,cash payment,1,2024-01-06
293,973,30,53,33,3,cash payment,35,2024-01-29
294,681,43,97,98,5,cashless payment,41,2024-01-16
295,746,89,176,38,3,cashless payment,49,2024-01-08
296,419,76,66,175,5,cashless payment,19,2024-01-27
297,322,73,44,41,5,cashless payment,25,2024-01-14
298,66,68,162,129,4,cash payment,7,2024-01-19
299,890,83,39,50,5,in installments,1,2024-01-12
300,737,6,4,181,4,cash payment,16,2024-01-22
301,597,96,164,122,3,cash payment,36,2024-01-17
302,874,36,163,149,4,cash payment,21,2024-01-05
303,756,72,64,135,1,cash payment,2,2024-01-16
304,160,69,42,134,5,in installments,8,2024-01-09
305,513,38,102,162,4,in installments,15,2024-01-01
306,785,3,112,200,5,cash payment,38,2024-01-27
307,391,78,131,180,2,in installments,38,2024-01-02
308,42,33,105,69,3,cash payment,38,2024-01-11
309,973,17,181,89,3,cashless payment,5,2024-01-01
310,69,38,111,53,5,cash payment,31,2024-01-14
311,787,51,121,77,2,in installments,25,2024-01-26
312,207,39,1,42,3,in installments,7,2024-01-02
313,768,31,178,153,1,cashless payment,49,2024-01-01
314,506,43,101,30,5,in installments,25,2024-01-18
315,802,38,90,194,5,in installments,14,2024-01-02
316,877,37,123,157,5,cash payment,35,2024-01-12
317,36,53,26,149,3,in installments,44,2024-01-03
318,750,25,101,91,5,cashless payment,25,2024-01-06
319,854,75,134,163,4,cashless payment,3,2024-01-05
320,298,82,134,89,1,cash payment,4,2024-01-28
321,624,1,40,151,5,in installments,41,2024-01-16
322,378,89,48,15,5,cash payment,37,2024-01-22
323,144,8,151,11,2,cashless payment,31,2024-01-28
324,577,41,191,156,1,in installments,34,2024-01-16
325,414,5,147,190,4,cash payment,9,2024-01-21
326,576,44,161,68,2,cash payment,47,2024-01-12
327,741,76,107,116,2,cashless payment,46,2024-01-15
328,936,4,166,43,1,cash payment,4,2024-01-02
329,476,82,91,89,5,cashless payment,14,2024-01-08
330,251,87,17,68,1,cashless payment,12,2024-01-02
331,77,76,197,165,1,cash payment,50,2024-01-30
332,839,63,187,57,1,in installments,41,2024-01-26
333,810,3,94,76,4,cashless payment,8,2024-01-07
334,234,69,110,4,1,cashless payment,37,2024-01-28
335,202,57,3,82,5,cashless payment,25,2024-01-05
336,459,16,59,158,1,in installments,9,2024-01-14
337,551,27,11,132,1,cash payment,28,2024-01-21
338,213,4,174,80,4,cash payment,6,2024-01-10
339,722,52,52,92,3,in installments,41,2024-01-25
340,543,51,138,59,4,cashless payment,46,2024-01-14
341,496,63,184,32,3,in installments,23,2024-01-18
342,820,6,116,158,3,cash payment,17,2024-01-05
343,731,52,197,178,5,cash payment,23,2024-01-20
344,527,85,186,104,1,cashless payment,33,2024-01-21
345,290,33,191,111,5,cashless payment,46,2024-01-14
346,638,78,166,166,4,in installments,26,2024-01-21
347,541,35,126,189,5,cash payment,49,2024-01-29
348,274,67,168,153,5,cashless payment,32,2024-01-25
349,428,34,182,105,5,cashless payment,40,2024-01-24
350,254,59,1,22,3,cashless payment,12,2024-01-12
351,245,13,77,177,1,cashless payment,8,2024-01-08
352,470,38,124,158,5,in installments,14,2024-01-16
353,901,19,34,87,5,cashless payment,38,2024-01-02
354,615,82,70,32,4,in installments,1,2024-01-05
355,97,74,190,85,5,cash payment,13,2024-01-17
356,459,75,157,55,4,cash payment,34,2024-01-06
357,456,64,99,178,5,cash payment,18,2024-01-29
358,207,69,140,4,2,cashless payment,44,2024-01-25
359,488,91,32,150,1,cash payment,7,2024-01-29
360,445,29,53,108,2,cash payment,42,2024-01-03
361,508,4,167,55,5,cashless payment,40,2024-01-16
362,18,94,169,76,3,in installments,45,2024-01-29
363,92,80,113,173,5,in installments,47,2024-01-29
364,481,60,89,78,3,cashless payment,6,2024-01-23
365,49,64,43,81,5,cash payment,46,2024-01-06
366,271,63,79,56,1,cash payment,7,2024-01-08
367,714,78,183,189,1,in installments,6,2024-01-06
368,938,32,145,198,3,in installments,22,2024-01-10
369,812,70,104,112,1,cashless payment,0,2024-01-14
370,721,18,162,171,1,cashless payment,40,2024-01-23
371,823,48,164,79,4,in installments,2,2024-01-26
372,88,27,186,181,1,in installments,0,2024-01-21
373,580,87,98,151,5,in installments,46,2024-01-06
374,735,1,17,129,3,cashless payment,16,2024-01-14
375,790,52,178,41,1,in installments,22,2024-01-19
376,912,53,50,18,4,in installments,48,2024-01-27
377,877,82,167,172,3,in installments,18,2024-01-18
378,340,46,36,199,2,cashless payment,44,2024-01-08
379,355,15,168,2,5,cash payment,44,2024-01-24
380,814,47,165,148,4,cashless payment,15,2024-01-19
381,382,96,190,78,5,cash payment,15,2024-01-05
382,70,35,166,113,1,in installments,36,2024-01-06
383,133,89,179,199,1,cashless payment,26,2024-01-23
384,267,57,122,93,3,cashless payment,2,2024-01-29
385,973,18,145,180,3,cash payment,29,2024-01-03
386,536,14,6,11,5,cashless payment,8,2024-01-19
387,712,23,189,1,1,cashless payment,4,2024-01-10
388,877,23,157,18,2,cash payment,34,2024-01-20
389,867,11,143,192,2,cashless payment,16,2024-01-24
390,951,32,53,180,1,cashless payment,16,2024-01-25
391,290,54,52,56,1,cash payment,20,2024-01-03
392,896,49,44,108,2,in installments,22,2024-01-20
393,832,56,51,101,4,cash payment,15,2024-01-16
394,555,31,147,67,3,cashless payment,44,2024-01-24
395,418,14,196,107,2,cash payment,32,2024-01-03
396,827,97,115,149,4,cash payment,27,2024-01-08
397,216,55,101,151,1,cashless payment,7,2024-01-25
398,548,47,38,81,3,cash payment,50,2024-01-01
399,921,13,96,135,3,cash payment,34,2024-01-05
400,22,98,126,154,4,cashless payment,11,2024-01-26
401,179,68,6,123,3,cashless payment,43,2024-01-08
402,341,65,169,51,3,in installments,40,2024-01-30
403,148,53,175,115,4,cashless payment,40,2024-01-29
404,701,76,80,152,3,cashless payment,31,2024-01-29
405,130,64,15,123,4,in installments,2,2024-01-24
406,392,62,178,158,4,cashless payment,28,2024-01-06
407,280,65,153,120,3,cash payment,49,2024-01-02
408,417,13,194,41,2,in installments,0,2024-01-28
409,545,80,10,166,4,cash payment,39,2024-01-29
410,93,55,131,143,3,cash payment,1,2024-01-10
411,865,94,163,102,4,in installments,25,2024-01-21
412,853,86,98,6,5,cashless payment,15,2024-01-22
413,891,92,3,71,1,cash payment,33,2024-01-29
414,819,13,99,46,4,in installments,44,2024-01-14
415,1,6,176,3,1,cash payment,9,2024-01-18
416,802,93,196,50,3,cash payment,9,2024-01-09
417,195,79,125,74,5,in installments,8,2024-01-24
418,997,68,197,162,1,cash payment,4,2024-01-08
419,742,67,18,59,1,cashless payment,49,2024-01-29
420,678,49,150,126,5,cashless payment,41,2024-01-08
421,109,98,116,155,4,in installments,2,2024-01-24
422,80,4,12,87,5,cashless payment,31,2024-01-26
423,98,82,153,23,4,in installments,46,2024-01-14
424,589,83,189,78,3,cashless payment,9,2024-01-09
425,997,9,133,42,1,in installments,23,2024-01-26
426,813,43,138,16,5,cash payment,26,2024-01-28
427,980,66,2,95,1,in installments,41,2024-01-22
428,951,9,69,98,2,in installments,29,2024-01-18
429,391,32,5,113,2,in installments,49,2024-01-04
430,488,19,52,13,4,cashless payment,14,2024-01-25
431,763,60,118,57,5,cash payment,28,2024-01-15
432,834,28,116,38,1,in installments,36,2024-01-18
433,815,22,199,133,3,in installments,28,2024-01-23
434,521,61,76,153,5,cashless payment,47,2024-01-02
435,291,27,116,174,2,cash payment,9,2024-01-08
436,586,65,66,64,1,cash payment,22,2024-01-13
437,388,13,126,127,5,cashless payment,21,2024-01-23
438,745,81,159,94,3,cashless payment,45,2024-01-30
439,507,6,149,144,3,in installments,29,2024-01-04
440,848,54,195,109,4,cashless payment,18,2024-01-22
441,659,83,192,111,4,cash payment,27,2024-01-18
442,752,61,60,124,2,cashless payment,46,2024-01-04
443,947,79,78,162,2,cash payment,38,2024-01-22
444,523,73,31,64,1,cash payment,38,2024-01-24
445,839,64,198,172,2,cash payment,27,2024-01-29
446,329,65,8,137,5,cash payment,5,2024-01-12
447,2,23,80,199,4,in installments,4,2024-01-17
448,375,93,61,49,5,cashless payment,28,2024-01-12
449,676,99,162,124,1,cashless payment,17,2024-01-26
450,713,64,121,150,5,cash payment,21,2024-01-08
451,612,65,107,127,5,cashless payment,6,2024-01-14
452,886,93,169,78,2,in installments,45,2024-01-27
453,594,18,164,152,1,cash payment,11,2024-01-20
454,366,84,106,57,1,cash payment,16,2024-01-07
455,80,8,94,29,4,cash payment,7,2024-01-19
456,316,70,52,142,5,in installments,35,2024-01-05
457,864,63,70,153,2,cashless payment,25,2024-01-28
458,231,2,61,63,2,cash payment,48,2024-01-12
459,553,86,3,118,3,in installments,3,2024-01-07
460,210,11,13,139,2,cashless payment,10,2024-01-29
461,782,75,198,188,2,in installments,27,2024-01-19
462,563,85,25,46,4,cash payment,26,2024-01-09
463,133,32,105,131,2,cashless payment,23,2024-01-03
464,739,2,1,91,5,cash payment,37,2024-01-06
465,922,92,22,47,5,cash payment,15,2024-01-08
466,64,51,189,130,5,cash payment,19,2024-01-26
467,350,95,117,105,5,in installments,33,2024-01-15
468,470,82,49,70,5,cash payment,21,2024-01-17
469,428,93,35,194,1,cash payment,16,2024-01-30
470,522,5,98,182,2,cashless payment,49,2024-01-14
471,13,25,4,13,5,cashless payment,36,2024-01-06
472,425,25,91,154,3,cash payment,30,2024-01-05
473,801,36,50,192,4,cashless payment,21,2024-01-01
474,634,55,5,14,1,cashless payment,29,2024-01-15
475,240,80,140,120,5,cashless payment,12,2024-01-12
476,320,37,116,78,1,cashless payment,37,2024-01-05
477,440,24,36,20,1,in installments,43,2024-01-21
478,81,38,98,87,2,in installments,29,2024-01-04
479,370,65,109,117,5,cashless payment,21,2024-01-01
480,821,52,193,34,3,cashless payment,27,2024-01-24
481,218,50,32,41,2,cash payment,3,2024-01-19
482,776,14,169,147,4,cash payment,50,2024-01-26
483,78,90,119,177,5,cashless payment,23,2024-01-29
484,436,36,6,39,4,cashless payment,12,2024-01-25
485,542,18,94,17,1,in installments,39,2024-01-25
486,422,96,107,91,5,in installments,26,2024-01-25
487,687,31,139,46,3,cashless payment,49,2024-01-26
488,875,65,89,80,2,cashless payment,43,2024-01-20
489,144,93,97,140,5,cashless payment,43,2024-01-27
490,905,49,45,176,1,cashless payment,40,2024-01-26
491,296,89,18,181,5,cash payment,47,2024-01-01
492,820,4,101,89,2,cash payment,28,2024-01-06
493,151,40,65,57,3,cashless payment,36,2024-01-24
494,247,51,20,132,1,in installments,7,2024-01-12
495,117,18,68,108,5,cashless payment,47,2024-01-29
496,571,27,75,153,5,cashless payment,31,2024-01-12
497,939,63,157,1,4,cash payment,49,2024-01-08
498,184,30,34,33,4,cash payment,45,2024-01-03
499,337,82,22,21,4,in installments,24,2024-01-24
500,229,3,182,138,5,cash payment,40,2024-01-11
501,918,79,52,134,4,in installments,47,2024-01-15
502,516,63,35,120,3,cash payment,34,2024-01-17
503,228,61,14,68,3,cash payment,46,2024-01-01
504,535,51,26,145,1,cash payment,6,2024-01-28
505,253,65,150,139,5,cash payment,35,2024-01-10
506,274,10,1,105,2,cash payment,42,2024-01-29
507,176,85,3,176,5,cashless payment,18,2024-01-03
508,947,46,121,200,1,cashless payment,4,2024-01-27
509,371,78,131,148,4,cash payment,1,2024-01-03
510,113,97,70,10,2,cashless payment,42,2024-01-19
511,224,98,154,188,3,cash payment,9,2024-01-21
512,355,32,91,14,2,cash payment,25,2024-01-23
513,515,90,69,60,5,cash payment,36,2024-01-01
514,640,20,139,183,3,cashless payment,42,2024-01-14
515,955,45,50,23,5,cash payment,26,2024-01-12
516,431,96,122,152,5,in installments,20,2024-01-09
517,181,90,21,36,4,in installments,40,2024-01-20
518,141,51,126,59,4,cash payment,34,2024-01-29
519,435,66,41,155,5,cash payment,15,2024-01-29
520,855,3,124,182,2,cash payment,49,2024-01-11
521,840,68,25,116,5,cash payment,28,2024-01-17
522,578,47,91,130,4,in installments,11,2024-01-13
523,187,8,46,4,3,cash payment,22,2024-01-09
524,695,23,46,158,4,cashless payment,14,2024-01-30
525,129,74,76,161,4,cash payment,7,2024-01-19
526,661,57,82,119,2,cash payment,50,2024-01-01
527,415,13,83,82,4,cashless payment,32,2024-01-29
528,418,12,169,175,1,cashless payment,43,2024-01-19
529,385,3,6,43,5,cash payment,12,2024-01-26
530,100,86,23,73,5,in installments,18,2024-01-14
531,678,62,127,36,5,cashless payment,8,2024-01-26
532,733,92,145,42,4,cash payment,47,2024-01-27
533,102,73,70,131,5,cash payment,26,2024-01-24
534,979,92,5,150,5,cash payment,48,2024-01-10
